Period,Report Id,Company,Company number,Payments made in the reporting period,Average time to pay,% Invoices paid within 30 days,% Invoices paid between 31 and 60 days,% Invoices paid later than 60 days,% Invoices not paid within agreed terms,Shortest (or only) standard payment period,Longest standard payment period,Maximum contractual payment period,Payment terms have changed,Suppliers notified of changes,Participates in payment codes,E-Invoicing offered,Supply-chain financing offered,Policy covers charges for remaining on supplier list,Charges have been made for remaining on supplier list
2019 JAN - 2019 JUN,19415,JOHN R. ADAM & SONS LIMITED,SC030140,True,22.0,90.0,10.0,0.0,0.0,1.0,90.0,90.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,19388,MEDIMMUNE U.K. LIMITED,03854275,True,50.0,48.0,34.0,18.0,5.0,0.0,120.0,120.0,False,,True,True,True,False,False
2019 JAN - 2019 JUN,19382,MEDIMMUNE LIMITED,02451177,True,56.0,17.0,66.0,17.0,1.0,0.0,120.0,120.0,False,,True,True,True,False,False
2019 JAN - 2019 JUN,19374,ASTRAZENECA UK LIMITED,03674842,True,54.0,14.0,71.0,15.0,1.0,0.0,120.0,120.0,False,,True,True,True,False,False
2019 JAN - 2019 JUN,19373,FUCHS LUBRICANTS (UK) PLC,02412689,True,40.0,31.0,53.0,16.0,16.0,30.0,60.0,60.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,19313,SUN CHEMICAL LIMITED,02647054,True,44.0,43.0,33.0,24.0,11.0,30.0,,90.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,19310,LUXFER HOLDINGS PLC,03690830,True,1.0,100.0,0.0,0.0,0.0,1.0,30.0,30.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,19296,COSTCUTTER SUPERMARKETS GROUP LIMITED,02059678,True,40.0,48.0,39.0,13.0,56.0,30.0,90.0,90.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,19284,INNOVIA FILMS LIMITED,00271998,True,42.0,18.0,51.0,31.0,32.0,60.0,,90.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,19244,JANSSEN-CILAG LIMITED,01027904,True,29.0,60.0,36.0,4.0,28.0,45.0,60.0,90.0,True,True,False,True,True,False,False
2019 JAN - 2019 JUN,18827,AMEY GROUP SERVICES LIMITED,03744754,True,17.0,83.0,13.0,4.0,17.0,14.0,60.0,60.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,17256,ERICSSON LIMITED,00942215,True,81.0,12.0,34.0,54.0,9.0,90.0,91.0,90.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18823,ENTERPRISE MANAGED SERVICES LIMITED,00889628,True,30.0,60.0,29.0,11.0,33.0,14.0,60.0,60.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18825,AMEY POWER SERVICES LIMITED,05360868,True,35.0,54.0,30.0,16.0,31.0,14.0,60.0,60.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18698,TELEFONICA UK LIMITED,01743099,True,85.0,33.0,23.0,44.0,8.0,30.0,180.0,180.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18695,ETEX BUILDING PERFORMANCE LIMITED,02163844,True,52.0,34.0,32.0,34.0,40.0,30.0,98.0,150.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,18687,GIFFGAFF LIMITED,04196996,True,47.0,42.0,32.0,26.0,23.0,30.0,180.0,180.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18654,HALLIBURTON MANUFACTURING AND SERVICES LIMITED,00611451,True,13.0,91.0,5.0,4.0,10.0,30.0,60.0,75.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18607,BOMBARDIER TRANSPORTATION UK LTD,02235994,True,109.0,14.0,28.0,58.0,64.0,7.0,210.0,240.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18573,CITY PLUMBING SUPPLIES HOLDINGS LIMITED,02489546,True,36.0,51.0,33.0,16.0,70.0,30.0,90.0,107.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,18570,TRAVIS PERKINS TRADING COMPANY LIMITED,00733503,True,50.0,29.0,43.0,28.0,81.0,30.0,90.0,107.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,18559,TILE GIANT LIMITED,04308218,True,38.0,55.0,28.0,17.0,88.0,30.0,90.0,90.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,18552,KEYLINE BUILDERS MERCHANTS LIMITED,SC042425,True,54.0,17.0,50.0,33.0,77.0,30.0,90.0,107.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,18742,AMEY COMMUNITY LIMITED,02564794,True,18.0,78.0,16.0,6.0,11.0,14.0,60.0,60.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18549,CCF LIMITED,01632482,True,47.0,23.0,54.0,23.0,89.0,30.0,90.0,107.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,18529,DEICHMANN-SHOES UK LIMITED,02893066,True,16.0,93.0,7.0,0.0,13.0,14.0,30.0,30.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,18523,SKF (U.K) LIMITED,00107367,True,38.0,47.0,41.0,12.0,28.0,0.0,60.0,150.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18494,JFD LIMITED,SC123684,True,39.0,56.0,34.0,11.0,35.0,30.0,,60.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,18485,EQUION ENERGIA LIMITED,00629687,True,20.0,92.0,8.0,0.0,8.0,30.0,,30.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,18451,BRITISH AMERICAN TOBACCO GLOBAL TRAVEL RETAIL LIMITED,09913893,True,42.0,29.0,52.0,19.0,10.0,30.0,120.0,120.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18449,BRITISH AMERICAN SHARED SERVICES (GSD) LIMITED,05203401,True,71.0,22.0,33.0,45.0,1.0,30.0,120.0,270.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18352,COBALT GROUND SOLUTIONS LIMITED,03039046,True,29.0,52.0,46.0,2.0,0.0,30.0,,30.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18334,TRADETEAM LIMITED,03078367,True,39.0,33.0,61.0,6.0,27.0,60.0,,90.0,False,,True,True,True,False,False
2019 JAN - 2019 JUN,16907,AMCOR FLEXIBLES WINTERBOURNE LIMITED,02456291,True,53.0,30.0,33.0,37.0,67.0,110.0,,170.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18330,EXEL UK LIMITED,00754103,True,42.0,33.0,57.0,10.0,26.0,60.0,,90.0,False,,True,True,True,False,False
2019 JAN - 2019 JUN,18546,BENCHMARX KITCHENS AND JOINERY LIMITED,02780063,True,56.0,19.0,39.0,42.0,90.0,30.0,90.0,90.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,18748,AMEY OWR LIMITED,03033245,True,34.0,64.0,26.0,10.0,40.0,14.0,60.0,60.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18709,BOSCH LAWN AND GARDEN LIMITED,03073491,True,33.0,56.0,36.0,8.0,31.0,30.0,,60.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18762,AXALTA COATING SYSTEMS UK LIMITED,02238419,True,59.0,6.0,60.0,34.0,28.0,14.0,90.0,90.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,18816,ENTERPRISE (AOL) LIMITED,04932529,True,37.0,45.0,35.0,20.0,34.0,14.0,60.0,60.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18814,GREVAN CARS LIMITED,01852806,True,35.0,46.0,47.0,7.0,38.0,0.0,1.0,1.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,18811,AMEYCESPA (EAST) LIMITED,00958007,True,27.0,70.0,25.0,5.0,22.0,14.0,60.0,60.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18808,AMEYCESPA (AWRP) ODC LIMITED,09200149,True,21.0,74.0,21.0,5.0,38.0,14.0,60.0,60.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18753,AMEY UTILITY SERVICES LIMITED,02578069,True,32.0,55.0,30.0,15.0,41.0,14.0,60.0,60.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18804,AMEY SERVICES LIMITED,02507588,True,20.0,68.0,30.0,2.0,39.0,14.0,60.0,60.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18801,AMEY HIGHWAYS LIMITED,06600609,True,36.0,48.0,35.0,17.0,22.0,14.0,60.0,60.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18799,AMEY LG LIMITED,03612746,True,36.0,51.0,28.0,21.0,24.0,14.0,60.0,60.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18797,AMEY OW LIMITED,01922327,True,27.0,69.0,25.0,6.0,25.0,14.0,60.0,60.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18807,CPI MORTARS LIMITED,03291462,True,55.0,5.0,58.0,37.0,96.0,0.0,60.0,60.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18783,AMEY FLEET SERVICES LIMITED,00462578,True,41.0,30.0,61.0,9.0,54.0,14.0,60.0,60.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18782,BP INTERNATIONAL LIMITED,00542515,True,38.0,34.0,61.0,5.0,14.0,0.0,60.0,60.0,False,,True,False,True,False,False
2019 JAN - 2019 JUN,18774,AMEY RAIL LIMITED,02995531,True,35.0,52.0,34.0,14.0,38.0,14.0,60.0,60.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18780,AMEY UK PLC,04736639,False,,,,,0.0,14.0,60.0,60.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18793,BP OIL UK LIMITED,00446915,True,18.0,92.0,6.0,2.0,6.0,6.0,60.0,60.0,False,,True,False,True,False,False
2019 JAN - 2019 JUL,23788,MOSS BROS GROUP PLC,00134995,True,25.0,69.0,24.0,8.0,17.0,7.0,60.0,60.0,False,,False,False,True,False,False
2019 JAN - 2019 JUL,24157,J D WETHERSPOON PLC,01709784,True,39.0,48.0,35.0,17.0,13.0,60.0,,180.0,False,,False,False,True,False,False
2019 FEB - 2019 JUL,21266,AZLAN LOGISTICS LIMITED,04625566,True,48.0,28.0,44.0,28.0,35.0,30.0,,60.0,False,,False,True,True,False,False
2019 FEB - 2019 JUL,21265,TECH DATA LIMITED,01691472,True,32.0,46.0,44.0,10.0,56.0,30.0,,60.0,False,,False,True,True,False,False
2019 FEB - 2019 JUL,21409,REGATTA LTD,01063450,True,28.0,59.0,35.0,5.0,39.0,7.0,89.0,86.0,False,,False,False,True,False,False
2019 FEB - 2019 JUL,22019,CANTERBURY CHRIST CHURCH UNIVERSITY,04793659,True,29.0,88.0,9.0,3.0,0.0,30.0,,30.0,False,,False,False,True,False,False
2019 FEB - 2019 AUG,21493,WM MORRISON PRODUCE LIMITED,00776224,True,45.0,30.0,48.0,22.0,1.0,14.0,60.0,90.0,False,,False,False,True,False,False
2019 FEB - 2019 AUG,21492,WM MORRISON SUPERMARKETS P L C,00358949,True,47.0,25.0,50.0,25.0,0.0,14.0,60.0,120.0,False,,False,False,True,False,False
2019 FEB - 2019 AUG,21494,INTERNATIONAL SEAFOODS LIMITED,07838062,True,55.0,15.0,42.0,44.0,2.0,14.0,60.0,90.0,False,,False,False,True,False,False
2019 FEB - 2019 AUG,21495,FARMERS BOY LIMITED,01053837,True,34.0,47.0,35.0,18.0,3.0,14.0,60.0,90.0,False,,False,False,True,False,False
2019 FEB - 2019 AUG,21496,NEEROCK LIMITED,02572702,True,12.0,91.0,6.0,2.0,1.0,7.0,60.0,90.0,False,,False,False,True,False,False
2019 FEB - 2019 AUG,21497,RATHBONE KEAR LIMITED,05417123,True,42.0,36.0,43.0,21.0,2.0,14.0,60.0,90.0,False,,False,False,True,False,False
2019 FEB - 2019 AUG,22375,MATALAN RETAIL LTD.,02103564,True,61.0,21.0,5.0,74.0,12.0,0.0,91.0,91.0,False,,False,False,True,False,False
2019 FEB - 2019 AUG,21811,TESCO STORES LIMITED,00519500,True,40.0,16.0,82.0,2.0,1.0,14.0,90.0,90.0,False,,True,True,True,False,False
2019 MAR - 2019 AUG,38443,ST MARY'S SCHOOL ASCOT,01844327,True,31.0,60.0,36.0,4.0,40.0,30.0,60.0,60.0,False,,False,False,True,False,False
2019 MAR - 2019 AUG,21963,J & J ORMEROD PLC,00931323,True,37.0,38.0,58.0,4.0,2.0,1.0,88.0,90.0,False,,False,True,True,False,False
2019 MAR - 2019 AUG,22367,PEACOCKS STORES LIMITED,SC285031,True,70.0,20.0,40.0,40.0,29.0,66.0,130.0,130.0,False,,False,False,True,False,False
2019 MAR - 2019 AUG,22047,THE ESSEX COMMUNITY REHABILITATION COMPANY LIMITED,08802550,True,19.0,14.0,77.0,9.0,15.0,0.0,90.0,90.0,True,False,False,True,True,False,False
2019 MAR - 2019 AUG,22048,THE CUMBRIA AND LANCASHIRE COMMUNITY REHABILITATION COMPANY LIMITED,08802569,True,24.0,21.0,69.0,10.0,25.0,9.0,90.0,90.0,True,False,False,True,True,False,False
2019 MAR - 2019 AUG,22053,TENNENT CALEDONIAN BREWERIES WHOLESALE LIMITED,SC081527,True,62.0,24.0,44.0,32.0,41.0,1.0,120.0,120.0,False,,False,True,True,False,False
